RBDB ID,Shortname,Title,Artist,Cover,Length,Year,Genre,BPM,Album,Track,Band Tier,Band Rank,Rock Ending,Vocal Tier,Vocal Rank,Vocal Gender,Vocal Parts,Vocal Percussion,Guitar Tier,Guitar Rank,Guitar Solos,Bass Tier,Bass Rank,Bass Solos,Drums Tier,Drums Rank,Drums Solos,Keys Tier,Keys Rank,Keys Solos,Pro Guitar Tier,Pro Guitar Rank,Pro Bass Tier,Pro Bass Rank,Pro Keys Tier,Pro Keys Rank,Sources
2801,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2800,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2799,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2798,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2796,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2797,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2794,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2795,,To Be Announced (Season 13 Spotlight Pass),Unknown,,,,Unknown,,,,8,,,8,,No Part,1,No Part,8,,,8,,,8,,,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2793,highwaytooblivion,Highway To Oblivion,DragonForce,,6:48,2019,Metal,145,Extreme Power Metal,1,6,458,,5,420,Male,3,Male,6,590,6,4,355,0,6,580,0,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2802,fortheloveofgodlive_rbn,For the Love of God (Live),Steve Vai,,5:44,2009,Rock,92,Where The Wild Things Are,27,4,267,,7,0,Male,1,Male,6,409,1,2,181,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2791,sugarhoneyiceandtea,sugar honey ice & tea,Bring Me The Horizon,,4:26,2019,Nu-Metal,147,amo,8,3,255,,4,320,Male,3,Male,3,240,1,2,198,0,2,160,0,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2792,whenimgone2,When I'm Gone,Dirty Honey,,3:29,2019,Rock,90,Dirty Honey,1,4,285,,5,360,Male,1,Male,4,303,1,3,260,0,4,245,0,7,0,0,7,0,7,0,7,0,"DLC, Season 13 Spotlight Pass"
2789,21her,21,H.E.R.,,3:15,2019,R&B/Soul/Funk,78,21 [Single],1,2,229,,3,244,Female,3,Female,2,199,0,1,155,0,4,252,0,7,0,0,7,0,7,0,7,0,DLC
2790,bustervoodoo_rbn,Buster Voodoo,Rodrigo y Gabriela,,4:27,2009,Rock,118,11:11,2,6,345,,7,0,No Part,1,No Part,6,409,2,6,436,0,7,0,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2788,oldtownroad,Old Town Road (Remix),Lil Nas X ft. Billy Ray Cyrus,,2:41,2019,Country,136,7 EP,1,1,203,,2,203,Male,3,Male,1,151,0,0,59,0,3,198,0,7,0,0,7,0,7,0,7,0,DLC
2786,robotsmaybreakyourheart_rbn,Robots May Break Your Heart,Riverboat Gamblers,,3:41,2008,Punk,150,Underneath the Owl,7,4,267,,3,218,Male,1,Male,3,221,1,3,228,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2787,entertain_rbn,Entertain,Sleater-Kinney,,4:57,2005,Indie Rock,144,The Woods,6,3,243,,4,279,Female,1,Female,2,176,2,1,135,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2784,battlesandbrotherhood_rbn,Battles and Brotherhood,3 Inches of Blood,,4:52,2009,Metal,234,Here Waits Thy Doom,1,4,267,,4,279,Male,1,Male,4,267,2,3,228,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2771,missedconnection,Missed Connection,The Head and the Heart,,3:20,2019,Alternative,88,Living Mirage,2,2,215,,4,279,Male,3,Male,1,139,0,2,181,0,2,151,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2785,thehoundsofanubis_rbn,The Hounds of Anubis,The Word Alive,,4:23,2010,Metal,131,Deceiver,1,6,345,,2,175,Male,1,Male,5,333,1,3,228,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2782,havefaithinme_rbn,Have Faith In Me,A Day to Remember,,3:12,2009,Punk,149,Homesick,6,2,215,,1,132,Male,1,Male,2,176,0,0,1,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2770,hurt,Hurt,Oliver Tree,,2:31,2018,Alternative,94,Hurt [Single],1,0,68,,2,200,Male,2,Male,0,25,0,0,25,0,0,25,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2783,jumpers_rbn,Jumpers,Sleater-Kinney,,4:27,2005,Indie Rock,145,The Woods,4,2,215,,4,279,Female,1,Female,2,176,0,2,181,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2780,undone_rbn,Undone,All That Remains,,3:16,2008,Metal,196,Overcome,3,4,267,,3,218,Male,1,Male,5,333,1,3,228,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2781,verybusypeople_rbn,Very Busy People,The Limousines,,4:09,2010,Alternative,115,Get Sharp,4,3,243,,4,279,Male,3,Male,2,176,0,2,181,0,3,179,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2769,gloria,Gloria,The Lumineers,,3:37,2019,Indie Rock,79,III,3,3,257,,2,215,Male,2,Male,4,275,0,2,220,0,1,138,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2779,thefinalepisode_rbn,Final Episode (Let's Change the Channel),Asking Alexandria,,4:10,2009,Metal,196,Stand Up and Scream,2,4,267,,2,175,Male,3,Male,4,267,0,3,228,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2768,blameitonmyyouth,Blame It On My Youth,Blink-182,,3:12,2019,Punk,170,Blame It On My Youth [Single],1,2,233,,3,244,Male,3,Male,2,210,0,2,203,0,5,369,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2778,theplottobombthepanhandle_rbn,The Plot to Bomb the Panhandle,A Day to Remember,,4:08,2007,Punk,200,For Those Who Have Heart,4,3,243,,3,218,Male,3,Male,3,221,0,2,181,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2776,forwearemany_rbn,For We Are Many,All That Remains,,3:03,2010,Metal,210,For We Are Many,2,6,345,,1,132,Male,1,Male,6,409,1,5,364,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2777,obfuscation_rbn,Obfuscation,Between the Buried and Me,,9:12,2009,Prog,149,The Great Misdirect,2,6,345,,0,1,Male,1,Male,6,409,2,5,364,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2767,alligator,Alligator,Of Monsters And Men,,3:08,2019,Indie Rock,120,FEVER DREAM,1,2,238,,2,181,Female,1,Female,3,230,0,1,152,0,2,160,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2766,100baddays,100 Bad Days,AJR,,3:33,2019,Pop-Rock,144,Neotheater,3,2,224,,4,290,Male,3,Male,2,202,0,0,69,0,3,203,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2774,caves_rbn,Caves,Chiodos,,3:45,2010,Emo,165,Illuminaudio,2,5,292,,4,279,Male,2,Male,4,267,0,4,293,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2775,requiemforadyingsong_rbn,Requiem for a Dying Song,Flogging Molly,,3:37,2008,Punk,169,Float,1,2,215,,3,218,Male,1,Male,3,221,0,2,181,0,1,139,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2772,dayswithout_rbn,Days Without,All That Remains,,3:12,2008,Metal,104,Overcome,6,4,267,,2,175,Male,1,Male,5,333,2,3,228,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2765,change,Change,The Revivalists,,3:54,2018,Alternative,142,Take Good Care,3,3,255,,4,325,Male,3,Male,3,244,0,1,160,0,2,170,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2773,kicksomeass09_rbn,Kick Some Ass '09,Stroke 9,,4:03,2010,Rock,92,Greatest Hits,2,1,165,,1,132,Male,1,Male,1,139,1,1,135,0,2,151,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2763,sucker,Sucker,Jonas Brothers,,3:05,2019,Pop-Rock,138,Happiness Begins,1,1,204,,4,290,Male,3,Male,1,149,0,1,166,0,3,206,0,7,0,0,7,0,7,0,7,0,DLC
2764,highhopes,High Hopes,Panic at the Disco,,3:15,2018,Emo,164,Pray for the Wicked,4,2,233,,5,402,Male,3,Male,2,208,0,2,188,0,3,230,0,7,0,0,7,0,7,0,7,0,"DLC, Season 12 Spotlight Pass"
2761,shallowwaters_rbn,Shallow Waters,Amberian Dawn,,3:36,2009,Metal,168,The Clouds of Northland Thunder,5,6,345,,3,218,Female,1,Female,6,409,2,6,436,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2762,lexington_rbn,Lexington (Joey Pea-Pot with a Monkey Face),Chiodos,,5:04,2007,Emo,135,Bone Palace Ballet,2,5,292,,2,175,Male,1,Male,5,333,1,2,181,0,4,242,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2759,berzerker_rbn,Berzerker,After the Burial,,5:41,2009,Metal,224,Rareform,1,6,345,,0,1,Male,1,Male,5,333,0,5,364,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2760,wearenotanonymous_rbn,We Are Not Anonymous,Unearth,,3:08,2008,Metal,167,The March,5,4,267,,0,1,Male,1,Male,6,409,1,3,228,0,4,242,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2758,thedifferencebetweenmed_rbn,The Difference Between Medicine and Poison is in the Dose,Circa Survive,,4:20,2007,Alternative,149,On Letting Go,4,3,243,,3,218,Male,2,Male,3,221,0,2,181,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2751,ifimjamesdean_rbn,"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,,3:41,2010,Emo,157,With Ears to See and Eyes to Hear,1,5,292,,4,279,Male,1,Male,3,221,0,2,181,0,4,242,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2756,thewaitingone_rbn,The Waiting One,All That Remains,,4:51,2010,Metal,149,For We Are Many,12,4,267,,3,218,Male,1,Male,5,333,1,2,181,0,3,178,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2745,whenamigonnaloseyou,When Am I Gonna Lose You,Local Natives,,4:27,2019,Alternative,142,Violet Street,2,3,245,,5,411,Male,3,Male,1,155,0,2,225,0,2,168,0,7,0,0,7,0,7,0,7,0,"DLC, Season 11 Spotlight Pass"
2757,wakeup_rbn,Wake Up,Suicide Silence,,3:53,2009,Metal,135,No Time To Bleed,1,5,292,,0,1,Male,1,Male,5,333,1,5,364,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2744,tourniquet,Tourniquet,Breaking Benjamin,,4:13,2018,Rock,120,Ember,4,4,271,,3,230,Male,3,Male,4,301,0,3,288,0,3,230,0,7,0,0,7,0,7,0,7,0,"DLC, Season 11 Spotlight Pass"
2755,youonlyliveonce_rbn,You Only Live Once,Suicide Silence,,3:17,2012,Metal,118,The Black Crown,4,4,267,,0,1,Male,2,Male,4,267,1,4,293,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2754,serpentineoffering_rbn,The Serpentine Offering,Dimmu Borgir,,5:16,2007,Metal,204,In Sorte Diaboli,1,6,345,,3,218,Male,3,Male,4,267,0,4,293,0,5,345,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2743,salvation,Salvation,The Strumbellas,,3:25,2019,Alternative,140,Rattlesnake,1,2,230,,4,293,Male,3,Male,2,203,0,2,191,0,1,135,0,7,0,0,7,0,7,0,7,0,"DLC, Season 11 Spotlight Pass"
2752,nemesis_rbn,Nemesis,Arch Enemy,,4:04,2005,Metal,195,Doomsday Machine,3,6,345,,0,1,Male,3,Male,6,409,3,5,364,0,6,448,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2741,overmyhead,Over My Head,Judah & the Lion,,3:14,2019,Alternative,151,Pep Talks,6,2,222,,2,180,Male,3,Male,3,234,1,0,55,0,3,211,0,7,0,0,7,0,7,0,7,0,"DLC, Season 11 Spotlight Pass"
2753,nightonbaldmountain_rbn,Night on Bald Mountain (Mussorgsky),Paul Henry Smith & The Fauxharmonic Orchestra,,3:03,2010,Classical,210,Classical Frenzies [Single],1,2,215,,7,0,No Part,1,No Part,4,267,0,2,181,0,2,151,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
2742,longshot,Longshot,Catfish And The Bottlemen,,3:56,2019,Indie Rock,103,The Balance,1,3,254,,5,355,Male,2,Male,3,243,0,2,215,0,3,215,0,7,0,0,7,0,7,0,7,0,"DLC, Season 11 Spotlight Pass"
2750,itscomplicated_rbn,It's Complicated,A Day to Remember,,3:00,2010,Punk,98,What Separates Me From You,3,2,215,,2,175,Male,1,Male,1,139,0,1,135,0,3,221,0,7,0,0,7,0,7,0,7,0,"RBN (Rock Band Network), DLC"
